,link,name,수분,유분,보습,속건조,자극,진정,탄력,윤기,트러블,트러블개선,미백효과,피부톤개선,피부결개선,주름개선,모공관리,각질제거,흡수력,무게감,밀림,흘러내림,미끌거림,끈적임,향,양
10,https://www.coupang.com/vp/products/235709189?itemId=19220975055&vendorItemId=91393511797,"AHC 내추럴 퍼펙션 더블 쉴드 선스틱 SPF50+/PA++++, 14g, 3개",-2597.2400000000002,-1330.0400000000002,1984.16,-1741.78,-3657.7200000000003,-91.56,-2613.78,-1778.8600000000001,-3295.8,-845.04,-2312.8,-2494.84,-2748.92,-2429.4,-2571.8,-2677.46,-647.5,-3778.28,-2852.34,-3119.42,-3332.5,-3586.34,-1156.8400000000001,-209.51999999999998
11,https://www.coupang.com/vp/products/245673204?itemId=2432486253&vendorItemId=70426408607,"다슈 솔루션 시카 쉴드 선스틱 SPF50+ PA++++, 19g, 2개",-2570.56,-1154.2,3049.4200000000005,-2110.1800000000003,-4449.28,2728.46,-3088.2000000000003,-1663.9,-4090.34,-461.06000000000006,-3208.5800000000004,-3124.44,-2761.4,-3121.78,-3317.46,-3369.1600000000003,-500.96000000000004,-4757.66,-4058.2000000000003,-3768.8,-4225.06,-4425.3,298.66,-532.76
12,https://www.coupang.com/vp/products/261397396?itemId=1030893848&vendorItemId=5479342217,"퓨어멜로우 데일리 톤업 촉촉 선크림 SPF50+ PA++++, 50ml, 2개",2168.0800000000004,-4945.920000000001,4903.820000000001,-1952.3600000000001,-6104.0,-379.55999999999995,-4728.56,2706.72,-5686.72,-345.9599999999999,-4306.38,631.0000000000001,-2749.9800000000005,-4653.88,-5170.4800000000005,-5243.96,2530.88,-5847.6,-5534.3,-5562.3,-5494.800000000001,-5968.2,1553.2000000000003,3004.4400000000005
13,https://www.coupang.com/vp/products/4583248357?itemId=5620780687&vendorItemId=4498803481,"본트리 베리 에센스 선블럭 SPF50+ PA++++, 50ml, 2개",6183.32,-26265.92,33299.979999999996,-11337.439999999999,-41199.7,630.56,-35141.939999999995,3887.7799999999997,-38884.439999999995,-2480.14,-18817.6,-30770.679999999997,-16341.219999999998,-25354.94,-34588.16,-34753.7,15038.899999999998,-40702.32,-37091.34,-37031.22,-37526.46,-39775.799999999996,1120.12,8124.299999999999
14,https://www.coupang.com/vp/products/5226065960?itemId=23084847650&vendorItemId=91316212368,"한율 흰감국 광채 선크림 (SPF50+), 50ml, 1개",-334.5799999999999,-1744.6799999999998,3535.66,-1581.28,-3258.3599999999997,-231.51999999999998,-1984.58,2036.02,-3048.9,-1020.26,-924.8,-962.9,-1165.3600000000001,-2109.3199999999997,-2150.08,-2156.9799999999996,1222.1,-3067.6,-2694.4399999999996,-2648.2799999999997,-2611.8199999999997,-3226.2,1862.9399999999998,0.5400000000000063
15,https://www.coupang.com/vp/products/5546686662?itemId=21187243366&vendorItemId=89982098034,"아이오페 UV 쉴드 톤업 선 SPF50+ PA++++, 50ml, 1개",-298.42,-1393.8200000000002,1887.42,-1339.44,-2872.1200000000003,-1018.04,-789.96,981.56,-2437.66,-514.34,-817.44,305.18000000000006,-17.019999999999996,-1133.92,-1818.92,-1842.16,481.90000000000003,-2602.04,-2181.7799999999997,-1841.1000000000001,-2197.42,-2794.46,832.64,160.06
16,https://www.coupang.com/vp/products/5694626987?itemId=9444608048&vendorItemId=76730183756,"달바 워터풀 에센스 선크림 SPF50+PA++++ 50ml 2개 + 밸런싱 비건 젤 클렌저 15ml, 1세트",4117.62,-4262.66,6165.7,-954.3,-6856.54,1723.58,-5591.74,4661.14,-6611.34,1794.18,-4297.48,-4603.7,-2123.32,-4881.2,-6556.58,-6012.58,4923.46,-6833.72,-6700.4400000000005,-6935.6,-6666.76,-7060.78,2654.54,1708.1
17,https://www.coupang.com/vp/products/5774176841?itemId=9820108377&vendorItemId=77103637248,"토니모리 더 촉촉 그린티 수분 선크림 SPF50+ PA+++, 50ml, 2개",2623.04,-3020.38,3941.6400000000003,-1353.62,-4606.42,1166.44,-3084.0,1955.36,-3888.2799999999997,236.02000000000004,-3052.1200000000003,-2775.6000000000004,-2382.9800000000005,-2238.92,-3081.26,-2916.86,1972.12,-4196.54,-3673.5,-3535.5,-4044.1400000000003,-4083.26,1051.96,539.58
18,https://www.coupang.com/vp/products/6149159486?itemId=11856267480&vendorItemId=79129444843,"달바 워터풀 톤업 선크림 SPF 50+ PA++++ 50ml x 2p + 밸런싱 비건 젤 클렌저 15ml 세트, 50ml, 1세트",1954.0,-6237.400000000001,10241.0,204.65999999999997,-10781.48,249.12,-8226.58,7990.420000000001,-10501.34,733.6600000000001,-5522.139999999999,-628.48,-3145.42,-6379.0,-9598.42,-9825.76,4816.6,-11825.66,-9746.34,-9538.68,-10686.740000000002,-11735.22,5459.86,5859.200000000001
19,https://www.coupang.com/vp/products/6220984702?itemId=14121086667&vendorItemId=83001843003,"키오스킨 엘시스테인 멜라케어 선크림 SPF50+ PA++++ 50ml, 50ml, 5개",132.85999999999999,-968.88,1866.22,-810.3,-2573.04,-46.50000000000001,-779.9399999999999,366.97999999999996,-1667.2399999999998,-366.06,69.53999999999999,-281.64,-485.91999999999996,-663.14,-753.54,-777.4399999999999,359.43999999999994,-1833.76,-1691.7199999999998,-1364.08,-1477.1999999999998,-2335.16,755.38,-601.16
20,https://www.coupang.com/vp/products/6236837639?itemId=12565178307&vendorItemId=79833389298,"닥터문 프리미엄 대용량 알로에베라 선크림 SPF50+ PA+++, 500ml, 1개",-499.00000000000006,-3637.86,5404.9,-2565.7200000000003,-5996.880000000001,988.04,-4441.92,1271.78,-5592.52,-942.3000000000002,-4430.86,-4568.4400000000005,-3690.04,-4475.96,-4683.64,-4706.02,1824.2000000000003,-5907.840000000001,-5474.740000000001,-5247.56,-5508.4800000000005,-5894.9800000000005,859.2,4401.4800000000005
21,https://www.coupang.com/vp/products/6386024661?itemId=14059607129&vendorItemId=81306941286,"에뛰드 순정 디렉터 수분 선크림 SPF50+ PA++++ 50ml + 20ml 기획세트, 70ml, 1세트",3448.76,-3889.76,4018.64,-1436.3000000000002,-5143.48,738.36,-4289.2,2261.08,-4737.26,407.46000000000004,-4458.360000000001,-4472.360000000001,-2821.7200000000003,-4081.14,-4479.64,-4307.74,1745.14,-4817.400000000001,-4552.9800000000005,-4227.14,-4617.0,-4608.080000000001,-158.97999999999996,488.40000000000003
22,https://www.coupang.com/vp/products/6408836797?itemId=10786780420&vendorItemId=83454589831,"닥터지 그린 마일드 업 선스틱 SPF50+ PA++++, 20g, 1개",-3147.8399999999997,-213.78,2146.44,-1594.1999999999998,-4003.66,854.0400000000001,-2493.0400000000004,-2566.0400000000004,-3431.1400000000003,-882.5999999999999,-2630.52,-2544.6200000000003,-2401.54,-2367.46,-2545.76,-2528.7200000000003,530.12,-3912.62,-2758.6000000000004,-3400.58,-3623.2,-3413.1400000000003,-164.1,-755.72
23,https://www.coupang.com/vp/products/6472999417?itemId=19169367826&vendorItemId=86287623986,"미샤 올 어라운드 세이프 블록 아쿠아 선크림 SPF50+ PA++++, 50ml, 2개",2543.4599999999996,-3268.94,3600.4,-952.7,-4725.58,1333.6599999999999,-3334.66,1415.1799999999998,-3931.74,-535.52,-3654.64,-3577.0,-3096.3199999999997,-2914.66,-3607.88,-3619.38,1201.06,-4290.94,-3609.5199999999995,-3519.8199999999997,-3912.0199999999995,-4073.8199999999997,329.22,315.58
24,https://www.coupang.com/vp/products/6511707522?itemId=7394306909&vendorItemId=90626516751,"헤라 선 메이트 프로텍터 선크림 50ml 2개 SPF50+PA++++, 50ml, 2개",289.59999999999997,-758.8,1706.92,-471.58,-2433.22,-185.92000000000002,-785.4,691.28,-1128.0,-482.55999999999995,-600.24,-551.42,-657.88,-723.1199999999999,-840.4,-846.72,419.97999999999996,-1864.16,-1376.86,-1143.4,-1147.64,-2119.94,-49.120000000000005,-563.1800000000001
25,https://www.coupang.com/vp/products/6565919185?itemId=760331130&vendorItemId=4918164790,"토니모리 바이탈 비타12 보송 선스틱 SPF50+ PA++++, 22g, 1개",-3144.62,-2900.02,2432.68,-2375.98,-4876.62,-1485.98,-2702.4799999999996,-2609.8199999999997,-3690.2999999999997,-1245.86,-1599.52,-3124.7199999999993,-2608.68,-3035.7799999999997,-3296.8399999999997,-3110.24,-1018.22,-4427.12,-3817.72,-3781.8199999999997,-3761.2599999999998,-4154.96,2229.92,-962.3599999999999
